content,label
우리은행 환전 수수료 최대 NUM 할인 지금 신청하세요 URL 고객센터 NUM,0
LG U 신규 가입 이벤트 요금 할인 사은품 URL 고객센터 NUM,0
모르는 번호로 온 문자는 반드시 확인 후 삭제하세요,0
엄마가 이 거 보라고 했어 URL,0
근로복지공단 산재보상 신청 결과는 홈페이지에서 확인 가능합니다 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
경찰청 스미싱 문자 주의 출처 불분명한 링크 클릭 금지 고객센터 NUM,0
이벤트 참여는 은행 홈페이지에서 직접 확인하세요 URL,0
환경부 대기 오염 농도 높음 차량 2부제 시행에 협조 바랍니다 고객센터 NUM,0
KT 인터넷 TV 가입 시 최대 혜택 지급 URL 고객센터 NUM,0
보건복지부 독감 예방접종 대상자에게 안내드립니다 가까운 보건소 문의 고객센터 129,0
친구가 이 링크 꼭 보라던데 URL,0
인증서 재발급은 은행 앱을 통해 직접 하세요 URL,0
농협은행 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 고객센터 NUM,0
하나은행 하나원큐 대출 한도 확인 이벤트 URL 고객센터 NUM,0
드디어 나도 이 거 샀어 ㅋㅋ 너도 봐봐 URL,0
서울시청 내일 오전 미세먼지 나쁨 예보 실외활동 자제 권 고 고객센터 NUM,0
이 거 너 예전에 찾던 거 아니야 URL,0
택배 조회는 공식 사이트에서만 가능합니다 URL,0
행정안전부 폭염주의보 발효 무더위 쉼터 위치 확인 바랍니다 고객센터 NUM,0
카카오뱅크 비대면 신용대출 가능 여부 간편 조회 URL 고객센터 NUM,0
우리 다음 약속 이 링크 참고하자 URL,0
이 거 진짜 도움 됐어 공유할 게 URL,0
이런 문자 받으면 의심하고 절대 클릭하지 마세요 URL,0
SKT 데이터 리필 쿠폰 선착순 증정 URL 고객센터 NUM,0
신한은행 적금 가입하고 치킨 쿠폰 받자 이벤트 참여 URL 고객센터 NUM,0
안전신고 앱은 여기에서 설치할 수 있습니다 URL,0
이번 주말 어디 갈지 정리된 거야 URL,0
KB국민은행 간편하게 계좌 개설하고 최대 NUM 혜택 받으세요 URL 고객센터 NUM,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
근로복지공단 산재보상 신청 결과는 홈페이지에서 확인 가능합니다 ㅋㅋ 고객센터 NUM,0
엄마가 이 거 보라고 했어 URL ,0
카카오뱅크 비대면 신용대출 가능 여부 간편 조회 URL 고객센터 NUM,0
농협은행 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 고객센터 NUM,0
엄마가 이 거 보라고 했어 URL,0
인증서 재발급은 은행 앱을 통해 직접 하세요 URL,0
우리 다음 약속 이 링크 참고하자 URL,0
환경부 대기 오염 농도 높음 차량 2부제 시행에 협조 바랍니다 20 고객센터 NUM,0
하나은행 하나원큐 대출 한도 확인 이벤트 URL 98 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다,0
KT 인터넷 TV 가입 시 최대 혜택 지급 URL 고객센터 NUM,0
드디어 나도 이 거 샀어 ㅋㅋ 너도 봐봐 URL ㅋㅋ,0
택배 조회는 공식 사이트에서만 가능합니다 URL,0
서울시청 내일 오전 미세먼지 나쁨 예보 실외활동 자제 권 고 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
택배 조회는 공식 사이트에서만 가능합니다 URL,0
카카오뱅크 비대면 신용대출 가능 여부 간편 조회 URL 고객센터 NUM,0
농협은행 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 고객센터 NUM,0
이런 문자 받으면 의심하고 절대 클릭하지 마세요 URL,0
KT 인터넷 TV 가입 시 최대 혜택 지급 URL 고객센터 NUM,0
우리은행 환전 수수료 최대 NUM 할인 지금 신청하세요 URL 고객센터 NUM,0
안전신고 앱은 여기에서 설치할 수 있습니다 URL,0
신한은행 적금 가입하고 치킨 쿠폰 받자 이벤트 참여 URL 고객센터 NUM,0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다,0
환경부 대기 오염 농도 높음 차량 2부제 시행에 협조 바랍니다 고객센터 NUM,0
농협은행 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
택배 조회는 공식 사이트에서만 가능합니다 URL,0
신한은행 적금 가입하고 치킨 쿠폰 받자 이벤트 참여 URL 고객센터 NUM,0
이 거 너 예전에 찾던 거 아니야 URL,0
이 거 너 예전에 찾던 거 아니야 URL,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다,0
우리은행 환전 수수료 최대 NUM 할인 지금 신청하세요 URL 고객센터 NUM,0
공공기관은 절대 문자로 계좌번호를 묻지 않습니다,0
환경부 대기 오염 농도 높음 차량 2부제 시행에 협조 바랍니다 고객센터 NUM,0
보건복지부 독감 예방접종 대상자에게 안내드립니다 가까운 보건소 문의 고객센터 NUM,0
농협은행 스마트뱅킹 첫 가입 시 스타벅스 쿠폰 증정 URL 고객센터 NUM,0
안전신고 앱은 여기에서 설치할 수 있습니다 URL,0
보건복지부 독감 예방접종 대상자에게 안내드립니다 가까운 보건소 문의 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
KB국민은행 간편하게 계좌 개설하고 최대 NUM 혜택 받으세요 URL 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0
경찰청 스미싱 문자 주의 출처 불분명한 링크 클릭 금지 고객센터 NUM,0
이벤트 참여는 은행 홈페이지에서 직접 확인하세요 URL,0
이 거 너 예전에 찾던 거 아니야 URL,0
엄마가 이 거 보라고 했어 URL,0
친구가 이 링크 꼭 보라던데 URL,0
인증서 재발급은 은행 앱을 통해 직접 하세요 URL,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
안전신고 앱은 여기에서 설치할 수 있습니다 URL,0
KB국민은행 간편하게 계좌 개설하고 최대 NUM 혜택 받으세요 URL 고객센터 NUM,0
SKT 데이터 리필 쿠폰 선착순 증정 URL 고객센터 NUM,0
KT 인터넷 TV 가입 시 최대 혜택 지급 URL 고객센터 NUM,0
KT 인터넷 TV 가입 시 최대 혜택 지급 URL 고객센터 NUM,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
이벤트 참여는 은행 홈페이지에서 직접 확인하세요 URL,0
이 거 진짜 도움 됐어 공유할 게 URL,0
이런 문자 받으면 의심하고 절대 클릭하지 마세요 URL,0
신한은행 적금 가입하고 치킨 쿠폰 받자 이벤트 참여 URL ㅋㅋ 고객센터 NUM,0
이 거 너 예전에 찾던 거 아니야 URL,0
택배 조회는 공식 사이트에서만 가능합니다 URL,0
친구가 이 링크 꼭 보라던데 URL,0
우리 다음 약속 이 링크 참고하자 URL,0
경찰청 스미싱 문자 주의 출처 불분명한 링크 클릭 금지 고객센터 NUM,0
하나은행 하나원큐 대출 한도 확인 이벤트 URL 고객센터 NUM,0
친구가 이 링크 꼭 보라던데 URL,0
KB국민은행 간편하게 계좌 개설하고 최대 NUM 혜택 받으세요 URL 고객센터 NUM,0
드디어 나도 이 거 샀어 ㅋㅋ 너도 봐봐 URL,0
하나은행 하나원큐 대출 한도 확인 이벤트 URL 고객센터 NUM,0
인증서 재발급은 은행 앱을 통해 직접 하세요 URL,0
건강보험공단 건강검진 예약 안내 예약 기간 DATE까지 고객센터 NUM,0
안전신고 앱은 여기에서 설치할 수 있습니다 URL,0
우리은행 환전 수수료 최대 NUM 할인 지금 신청하세요 URL 고객센터 NUM,0
서울시청 내일 오전 미세먼지 나쁨 예보 실외활동 자제 권 고 고객센터 NUM,0
이번 주말 어디 갈지 정리된 거야 URL,0